SEANCE,GROUPE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX,IND_RES
----------,-------,------,------------------,-----------,-----------,-----------,-----------,------------------,---------------,-----------------,-------
02/01/2020,11,100010,MONOPRIX,7.810,7.800,7.800,7.810,406,4,3168.400,
02/01/2020,11,110025,SFBT,18.950,18.680,18.500,18.980,35833,71,672327.490,
02/01/2020,11,120040,TUNISAIR,0.630,0.630,0.620,0.630,13391,8,8302.500,
02/01/2020,11,160015,ATTIJARI,BANK,32.400,32.000,31.710,32.400,1059,12,33685.940
02/01/2020,11,180045,BIAT,113.500,112.510,112.510,113.500,2473,45,279732.400,
02/01/2020,11,190060,BH,12.130,11.770,11.770,12.130,2316,3,28087.680,
02/01/2020,11,220005,BT,7.800,7.570,7.570,7.800,5469,10,41564.990,
02/01/2020,11,260095,STB,4.780,4.640,4.640,4.780,2874,16,13437.130,
02/01/2020,11,310060,BNA,11.900,11.900,11.700,11.900,10346,10,121707.620,
02/01/2020,11,320075,ICF,120.000,119.000,118.620,120.000,358,11,42734.430,
02/01/2020,11,340005,AMEN,BANK,29.240,29.500,29.240,29.680,5295,28,155719.950
02/01/2020,11,360035,ATB,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,11,390010,UIB,22.900,22.790,22.500,22.900,890,8,20062.700,
02/01/2020,11,400005,SIMPAR,39.880,39.880,39.880,39.880,1,1,39.880,
02/01/2020,11,420085,CIL,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,11,470010,ATL,1.690,1.650,1.650,1.690,2258,14,3731.720,
02/01/2020,11,653001,SOTETEL,5.000,5.150,5.000,5.150,181,6,926.450,
02/01/2020,11,656001,SOTUVER,8.580,8.240,8.220,8.580,3292,15,27705.800,
02/01/2020,11,658001,SOTUMAG,2.380,2.370,2.370,2.380,5700,10,13514.000,
02/01/2020,11,659001,SIAME,4.180,4.060,4.060,4.180,6465,30,26395.240,
02/01/2020,11,661001,ATTIJARI,LEASING,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,11,665001,ELECTROSTAR,1.360,1.300,1.300,1.360,451,5,586.360,
02/01/2020,11,666001,SOTRAPIL,11.980,11.900,11.900,11.980,1351,3,16167.300,
02/01/2020,11,678001,SOMOCER,0.960,0.940,0.940,0.960,10210,26,9686.290,B
02/01/2020,11,713001,GIF-FILTER,0.610,0.610,0.600,0.610,2521,8,1520.650,
02/01/2020,11,714001,ASSAD,7.200,7.200,7.200,7.200,260,2,1872.000,
02/01/2020,11,721001,ESSOUKNA,2.180,2.160,2.120,2.180,1203,12,2555.240,
02/01/2020,11,725001,ADWYA,2.510,2.520,2.470,2.520,2607,12,6487.180,
02/01/2020,11,727001,TPR,4.740,4.600,4.600,4.880,3129,15,14605.460,B
02/01/2020,11,729001,SOPAT,1.680,1.680,1.640,1.690,3311,16,5495.530,
02/01/2020,11,730001,ARTES,4.880,4.870,4.790,4.880,3396,14,16301.620,
02/01/2020,11,731013,HANNIBAL,LEASE,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,11,738001,TUNIS,RE,7.990,7.990,7.990,7.990,146,1,1166.540
02/01/2020,11,741001,ENNAKL,AUTOMOBILES,11.990,11.990,11.990,11.990,60,1,719.400
02/01/2020,11,744001,TELNET,HOLDING,9.250,9.200,9.030,9.250,11483,99,103922.070
02/01/2020,11,755001,CITY,CARS,7.380,7.380,7.380,7.380,1,1,7.380
02/01/2020,11,757001,EURO-CYCLES,19.000,18.840,18.520,19.000,18879,71,351066.980,
02/01/2020,11,759001,CELLCOM,3.710,3.870,3.710,3.870,2874,26,10920.470,
02/01/2020,11,761001,SAH,11.760,11.600,11.600,11.760,7381,34,86500.430,
02/01/2020,11,762001,MPBS,5.900,5.900,5.900,5.900,3900,2,23010.000,
02/01/2020,11,763001,SOTIPAPIER,6.970,6.960,6.850,6.970,5518,35,38044.310,
02/01/2020,11,767001,DELICE,HOLDING,10.380,10.300,10.300,10.380,1740,3,17976.800
02/01/2020,11,769001,UADH,0.920,0.960,0.920,0.960,109,3,101.320,
02/01/2020,11,772001,UNIMED,9.350,9.200,9.170,9.350,7975,18,73426.390,
02/01/2020,11,779001,TUNISIE,VALEURS,16.980,16.790,16.500,16.980,758,5,12743.110
02/01/2020,12,240050,UBCI,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,12,250065,PLAC.,TSIE-SICAF,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,12,300045,ASTREE,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,12,380070,ALKIMIA,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,12,410020,TUNINVEST-SICAR,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,12,606001,STAR,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,12,644001,MAGASIN,GENERAL,28.140,29.400,28.140,29.400,1757,12,51529.800
02/01/2020,12,655001,BH,ASSURANCE,32.300,32.300,32.300,32.300,5,1,161.500
02/01/2020,12,664001,STEQ,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,12,667001,SIPHAT,5.250,5.250,5.250,5.250,574,6,3013.500,
02/01/2020,12,672004,MODERN,LEASING,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,12,718001,SITS,2.090,2.150,2.090,2.150,561,2,1172.550,
02/01/2020,12,758001,BEST,LEASE,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,13,330090,ELBENE,INDUSTRIE,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,13,430030,SITEX,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,130058,BTE0920,5.2%AP10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,130059,BTE0920,T+0.7%AP10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,130060,BTE0930,5.85%AP20,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,130062,BTE0232,6.25%P20,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,130064,BTEA0122,T+2.5%AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,130065,BTEB0124,7.55%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,160045,JBS1022T+2.1%,P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,160048,TJARISA0522T+1.9P5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,160049,TJARISB05247.5P7-2,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,190083,BH1224,T+0.8%P15-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,190084,BH1224,5.3%P15-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,190088,BHSA0520T+1.95%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,190089,BHSB0522,7.5%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,190094,BHSA0521T+1.95%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,190095,BHSB0523,7.5%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,190104,BHSB0425,7.85%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,190105,BHSB0425T+2.1%P7-2,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,190109,BHSB0324,10.2%INF5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,190110,BHSB0324T+2.3%INF5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,190112,BH,SC0326T+2.6P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,210184,TL,A0520T+2.3%AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,210193,TLSB0324,"7,85%P7-2",0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,210198,TLSB0225,8.20%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,210207,TLFSA,0124T+2.7%P5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,210209,TLFSB,0126T+3%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,260099,STB0524,T+1.5%AP16,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,260100,STB0528T+1.75%AP20,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,260101,STB0533,T+2.0%AP25,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,260102,STB0225,6.5%AP16,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,260103,STB0320,T+0.70%P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,260104,STB0325,5.30%P15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,260106,STB,SB0122T+1.3P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,310067,BNA0424,5.4%AP15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,310071,BNASB0524,7.55P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,310075,BNASA0823,8.25%AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,310077,BNASB0825,8.5%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,310078,BNASB825T+2.25P7-2,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,340032,AB0523,6.5%AP15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340033,AB0528,7.0%AP20,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340034,ABSB0924,5.45%P15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340035,ABSB0924,T+0.85P15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340040,AB0825,T+0.85%AP15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340041,ABSB0921,6.1%P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340042,ABSB0921,T+1%P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340043,ABSUB0922,6.25%P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340044,ABSUB0922T+1.3%P10,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,340048,ABS,A02207.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340049,ABSA0220T+1.9%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,340050,ABSB02227.45%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,340053,ABSB1123,7.5%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,340055,ABSB0424,7.55AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,360048,ATB0523T+1.25%AP16,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,360049,ATB0527T+1.75%AP20,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,360050,ATB0532T+2.0%AP25,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,360057,ATB0524,5.7%P15-5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,360058,ATB0529,5.9%P20-5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,360064,ATBSA325T+2.05P7-2,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,360065,ATBSB0328T+2.1AP10,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,390023,UIB0724,5.5%AP15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,390024,UIB0729,5.85%AP20,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,390025,UIB0821,T+1%P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,390026,UIB0831,6.3%P20,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,390035,UBSA0620T+1.95%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,390036,UBSB0622,7.5%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,390038,UBSB0124,7.5%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,462012,BTK0220,T+0.7%P10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,462013,BTK0225,T+0.8%P15,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,462014,BTK0230,5.85%P20,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,462019,BTKSB12217.45%P7-2,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,470050,ATL0420,6.8P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470051,ATL0420,T+1.9P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470053,ATL1120,T+1.9%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470057,ATLC0521,7.35%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470064,ATLB0221T+2.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,470065,ATLC0223,7.75%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470067,ATLC0623,7.75%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470069,ATLB0322T+2.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,470070,ATLC0324,7.8%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470073,ATLB0323T+2.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,470074,ATLC0325,7.95%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,470076,ATL,B0723T+2.2%AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,661034,TJLSB1221,7.75P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,661048,JLB1222T+2.35%,AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,661051,TJLSB0623T+2.3%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,661052,TJLSC0625,8.35P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,661054,TJL,"B0624T+2,75%P5",0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,672013,MLSB0425,"8,25%P7-2",0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,675016,AIL0820T+2.25%,AP5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,719013,UNIFAC02217.45%,P5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,719014,UNIFAC0221T+2.5%P5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,719015,UNIFAA1123,9.25%P5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,719016,UNIFAB1123T+2.5%P5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,720017,WIBIA0624,10.25%P5,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,720019,WIBIC0626,10.75%P7,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,731026,HLS1122,7.92%P7-2,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,731028,HLA0321T+2.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,731035,HLA0222T+2.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,21,778004,ABC,"B0725T+2,4P7-2",0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,21,778005,"ABCC0725T+2,5",INF7,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,100011,MONOPRIX,DA,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,110031,SFBTDA1/2(11/4/02),0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,32,160050,TJARIDA1/40,250518,0.600,0.600,0.600,0.600,62,5,37.200
02/01/2020,32,210115,TLS,DA1/55(010307),0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,220025,BTDA1/7(3/12/01),0.000,0.000,0.000,0.000,0,0,0.000,
02/01/2020,32,230042,ALQDA1/12,06/09/05,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,360043,ATBDA1/7,09/11/05,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,380071,ALKIM,DA,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,653005,SOTETEL,DA1/6,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,659002,SIAME,DA5/11,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,659006,SIAME,DA1/10,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,659008,SIAME,DA1/8,0.000,0.000,0.000,0.000,0,0,0.000
02/01/2020,32,664002,STEQ,DA2/5(8/4/02),0.000,0.000,0.000,0.000,0,0,0.000
