SEANCE,C_GR_RLC,CODE_VAL,LIB_VAL,COURS_REF,COURS_VEILLE,OUVERTURE,DERNIER_COURS,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRAN,CAPITAUX,I
--------,----------,------------------------,------------------,----------,------------,----------,-------------,----------,----------,----------,-----------------,----------,----------,-
02/01/18,11,725001,ADWYA,"5,35","5,35","5,25","5,39","5,39","5,25","5,39",2926,7,"15635,5",
02/01/18,11,340005,AMEN,BANK,"24,35","24,35","24,38",24,24,24,"24,38",1519,12,36918
02/01/18,11,730001,ARTES,"6,27","6,2","6,27","6,1","6,1","6,09","6,27",35875,67,"219020,05",
02/01/18,11,714001,ASSAD,9,9,0,0,9,0,0,0,0,,
02/01/18,11,360035,ATB,"4,22","4,22","4,15","4,18","4,18","4,15","4,18",3705,7,"15465,9",
02/01/18,11,470010,ATL,"3,17","3,09","3,17","3,09","3,09","3,09","3,17",602,2,"1860,34",
02/01/18,11,160015,ATTIJARI,BANK,36,"36,4",36,"36,6","36,6","35,8","36,6",11307,56,"405585,49"
02/01/18,11,661001,ATTIJARI,LEASING,"17,72","17,72","17,93","17,88","17,88","17,88","17,93",202,4,"3617,06"
02/01/18,11,190060,BH,18,"18,5",18,"18,48","18,48","17,8","18,48",7108,42,"127604,9",
02/01/18,11,180045,BIAT,120,122,120,"118,1","118,1",118,120,2897,39,342446,
02/01/18,11,310060,BNA,"11,96","11,7","11,96","11,61","11,61","11,61","11,96",13572,24,"160551,85",
02/01/18,11,220005,BT,"8,05","8,1","8,05","7,81","7,81","7,81","8,05",64695,70,"507662,25",
02/01/18,11,759001,CELLCOM,"1,89","1,89","1,89","1,89","1,89","1,89","1,89",160,2,"302,4",
02/01/18,11,420085,CIL,"16,35","16,35","16,35","16,48","16,84","16,35","16,48",844,6,"13852,96",+
02/01/18,11,755001,CITY,CARS,"10,6","10,6","10,6","10,75","10,75","10,6","10,75",7679,14,"81442,4"
02/01/18,11,767001,DELICE,HOLDING,"16,5","16,5","16,11","16,5","16,5","16,01","16,5",6591,9,"105611,16"
02/01/18,11,665001,ELECTROSTAR,"2,58","2,65","2,58","2,65","2,65","2,58","2,65",487,14,"1283,55",+
02/01/18,11,741001,ENNAKL,AUTOMOBILES,"12,45","12,45","12,6","12,4","12,4","12,35","12,6",3340,15,"41425,6"
02/01/18,11,721001,ESSOUKNA,"3,69","3,69","3,69","3,69","3,69","3,69","3,69",1500,4,5535,
02/01/18,11,757001,EURO-CYCLES,27,27,"26,51","26,5","26,5","26,2","26,89",6586,52,"174610,36",
02/01/18,11,713001,GIF-FILTER,"1,44","1,44","1,46","1,48","1,48","1,42","1,48",4894,20,"7039,95",
02/01/18,11,731013,HANNIBAL,LEASE,"8,3","8,3","8,06","8,06","8,06","8,06","8,06",1,1,"8,06"
