SEANCE,C_GR_RLC,CODE_VAL,LIB_VAL,COURS_REF,COURS_VEILLE,OUVERTURE,DERNIER_COURS,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRAN,CAPITAUX,I
02/01/18,11,644001,MAGASIN,GENERAL,"39,5","39,5","38,6","38,6","38,6","38,6","38,6",50,1,1930
02/01/18,11,100010,MONOPRIX,"11,39","11,4","11,39","11,6","11,6","11,39","11,6",1980,10,"22766,6",
02/01/18,11,762001,MPBS,"3,15","3,06","3,15","3,12","3,12","3,06","3,15",2717,6,"8420,55",
02/01/18,11,761001,SAH,"15,8","15,95","15,8","15,51","15,51","15,35","15,8",10090,42,"156553,13",
02/01/18,11,110025,SFBT,"19,8","19,8","19,8","19,4","19,4","19,22","19,8",27029,132,"523805,54",
02/01/18,11,659001,SIAME,"2,44","2,41","2,44","2,37","2,37","2,37","2,44",9516,10,"22599,58",-
02/01/18,11,400005,SIMPAR,"42,8","42,8","42,8","42,8","42,8","42,8","42,8",200,2,8560,
02/01/18,11,718001,SITS,"2,38","2,38","2,35","2,35","2,35","2,35","2,35",5000,4,11750,
02/01/18,11,678001,SOMOCER,"1,13","1,11","1,13","1,16","1,16","1,11","1,16",23630,80,"26979,44",
02/01/18,11,729001,SOPAT,",74",",74",",74",",74",",74",",74",",74",1050,7,777,
02/01/18,11,653001,SOTETEL,"2,74","2,74","2,66","2,81","2,81","2,66","2,81",5315,14,"14825,47",
02/01/18,11,763001,SOTIPAPIER,"3,48","3,48","3,48","3,52","3,52","3,48","3,52",2656,15,"9283,25",
02/01/18,11,666001,SOTRAPIL,"10,55","10,55","10,54","10,7","10,7","10,5","10,7",3252,20,"34354,69",
02/01/18,11,658001,SOTUMAG,"1,98","1,95","1,98","1,93","1,93","1,93","1,98",6790,21,"13247,26",
02/01/18,11,656001,SOTUVER,"5,14","5,18","5,14","4,94","4,94","4,94","5,14",14301,29,"71399,2",
02/01/18,11,606001,STAR,100,100,"97,4",98,98,"97,4",98,410,6,40174,
02/01/18,11,260095,STB,"3,59","3,59","3,69","3,69","3,69","3,69","3,69",21,1,"77,49",
02/01/18,11,744001,TELNET,HOLDING,"5,99","5,95","5,99","5,86","5,86","5,83","5,99",2502,11,"14828,37"
02/01/18,11,727001,TPR,"3,7","3,7","3,54","3,48","3,48","3,48","3,68",29264,78,"103269,43",-
02/01/18,11,738001,TUNIS,RE,"8,4","8,38","8,4","8,4","8,4","8,25","8,4",8718,40,"73110,64"
02/01/18,11,120040,TUNISAIR,",44",",43",",44",",43",",43",",42",",44",8001,18,"3441,43",
02/01/18,11,210090,TUNISIE,LEASING,14,14,"13,62","13,81","13,81","13,61","13,81",534,5,"7275,14"
02/01/18,11,769001,UADH,"2,45","2,46","2,45","2,45","2,45","2,45","2,45",636,5,"1558,2",
02/01/18,11,390010,UIB,"22,59","22,59","22,59","22,01","22,01","22,01","22,59",4173,19,"92334,27",
02/01/18,11,772001,UNIMED,"7,85","7,85",0,0,"7,85",0,0,0,0,,
02/01/18,12,230035,AIR,LIQUDE,TSIE,89,89,0,0,89,0,0,0,0
02/01/18,12,380070,ALKIMIA,"46,35","46,35",0,0,"46,35",0,0,0,0,,
02/01/18,12,655001,ASSURANCES,SALIM,"33,5","33,5",0,0,"33,5",0,0,0,0,
02/01/18,12,300045,ASTREE,34,34,0,0,34,0,0,0,0,,
02/01/18,12,758001,BEST,LEASE,"1,9","1,9",0,0,"1,9",0,0,0,0,
02/01/18,12,130055,BTE,(ADP),"17,24","17,24","17,24","17,21","17,21","17,21","17,24",502,2,"8648,54"
02/01/18,12,330090,ELBENE,INDUSTRIE,"3,58","3,58",0,0,"3,58",0,0,0,0,
02/01/18,12,320075,ICF,"28,13","28,13",0,0,"28,13",0,0,0,0,,
02/01/18,12,672004,MODERN,LEASING,"3,86","3,86",0,0,"3,86",0,0,0,0,
02/01/18,12,250065,PLAC.,TSIE-SICAF,"40,71","40,71",0,0,"40,71",0,0,0,0,
02/01/18,12,667001,SIPHAT,"5,3","5,3",0,0,"5,3",0,0,0,0,,
02/01/18,12,140070,SPDIT,-,SICAF,"8,2","8,2",0,0,"8,2",0,0,0,0
02/01/18,12,664001,STEQ,"7,62","7,62",0,0,"7,62",0,0,0,0,,
02/01/18,12,410020,TUNINVEST-SICAR,"6,5","6,5",0,0,"6,5",0,0,0,0,,
02/01/18,12,240050,UBCI,"24,81","24,81",0,0,"24,81",0,0,0,0,,
02/01/18,13,430030,SITEX,"6,25","6,25",0,0,"6,25",0,0,0,0,,
02/01/18,32,340020,AB,DA,1/27,"1,6",",9",0,0,"1,6",0,0,0,0
02/01/18,32,340027,ABDA,1/14,11122007,"2,62",2,0,0,"2,62",0,0,0,0
02/01/18,32,725005,ADWYA,DA1/5,040814,"1,5",",01",0,0,"1,5",0,0,0,0
02/01/18,32,380071,ALKIM,DA,"8,07",4,0,0,"8,07",0,0,0,0,
02/01/18,32,380072,ALKIM,DA,04,"7,34",5,0,0,"7,34",0,0,0,0
02/01/18,32,230041,ALQ,DA1/10,7/09/04,"27,39",35,0,0,"27,39",0,0,0,0
02/01/18,32,230043,ALQ,DA1/12,070906,"18,79",30,0,0,"18,79",0,0,0,0
02/01/18,32,230039,ALQ,DA1/6,(160902),"57,88",70,0,0,"57,88",0,0,0,0
02/01/18,32,230042,ALQDA1/12,06/09/05,"20,29",45,0,0,"20,29",0,0,0,0,
02/01/18,32,150092,AMS,DA,1/50,",03",",01",0,0,",03",0,0,0,0
02/01/18,32,730002,ARTES,DA1/4,230712,"2,57",2,0,0,"2,57",0,0,0,0
02/01/18,32,730003,ARTES,DA1/5,040313,"1,63","1,5",0,0,"1,63",0,0,0,0
02/01/18,32,714004,ASSAD,DA1/4,150609,"3,15",",01",0,0,"3,15",0,0,0,0
02/01/18,32,714003,ASSDA1/9(01/07/05),"1,73","1,3",0,0,"1,73",0,0,0,0,,
02/01/18,32,360043,ATBDA1/7,09/11/05,",87",",01",0,0,",87",0,0,0,0,
02/01/18,32,661014,ATTIJARI,LS,ROMPU,"6,72","6,72",0,0,"6,72",0,0,0,0
02/01/18,32,190071,BH,DA1/25,14022000,"1,37",",9",0,0,"1,37",0,0,0,0
02/01/18,32,190077,BHDA,1/15,28052007,"2,24",",01",0,0,"2,24",0,0,0,0
02/01/18,32,180046,BIAT,DA32,4/60,"10,05",",01",0,0,"10,05",0,0,0,0
02/01/18,32,180050,BIAT,DA36,1/24,"5,52","3,8",0,0,"5,52",0,0,0,0
02/01/18,32,190061,BQ,HABITAT,(DA),"1,87","1,25",0,0,"1,87",0,0,0,0
02/01/18,32,220025,BTDA1/7(3/12/01),"4,02",3,0,0,"4,02",0,0,0,0,,
02/01/18,32,757002,ECYCL,DA1/2,010616,"14,2","1,5",0,0,"14,2",0,0,0,0
02/01/18,32,665002,ELECTROSTAR,DA,1/6,",73",",03",0,0,",73",0,0,0,0
02/01/18,32,713006,GIF,DA27/1000,8713,",04",",04",0,0,",04",0,0,0,0
02/01/18,32,713007,GIF,DA4/237,270415,",03",",03",0,0,",03",0,0,0,0
02/01/18,32,713008,GIF,DA5/429,310715,",02",",01",0,0,",02",0,0,0,0
02/01/18,32,658002,MGR,DA1/3,050710,",85",",01",0,0,",85",0,0,0,0
02/01/18,32,100011,MONOPRIX,DA,"4,07","1,02",0,0,"4,07",0,0,0,0,
02/01/18,32,754003,NBL,DA1/45,161213,",15",",15",0,0,",15",0,0,0,0
02/01/18,32,110028,SFBT,(DA,1/6),"26,88","26,58",0,0,"26,88",0,0,0,0
02/01/18,32,110029,SFBT,(DA,1/7),"19,42",",12",0,0,"19,42",0,0,0,0
02/01/18,32,110038,SFBT,DA1/19,280513,"1,83",",38",0,0,"1,83",0,0,0,0
02/01/18,32,110033,SFBT,DA2007,1/13,"4,23",",01",0,0,"4,23",0,0,0,0
02/01/18,32,110034,SFBT,DA5/56,120510,"4,36",4,0,0,"4,36",0,0,0,0
02/01/18,32,110035,SFBT,DA5/61,300311,"3,59",2,0,0,"3,59",0,0,0,0
02/01/18,32,110031,SFBTDA1/2(11/4/02),"30,83",",1",0,0,"30,83",0,0,0,0,,
02/01/18,32,659010,SIAM,DA1/25,280704,",11",",01",0,0,",11",0,0,0,0
02/01/18,32,659006,SIAME,DA1/10,",34",",2",0,0,",34",0,0,0,0,
02/01/18,32,659008,SIAME,DA1/8,",39",",01",0,0,",39",0,0,0,0,
02/01/18,32,659002,SIAME,DA5/11,"1,71",",01",0,0,"1,71",0,0,0,0,
02/01/18,32,400010,SIMPA,DA1/6,010708,"13,29",8,0,0,"13,29",0,0,0,0
02/01/18,32,400012,SIMPA,DA1/7,010710,"9,6",6,0,0,"9,6",0,0,0,0
02/01/18,32,400008,SIMPAR,DA,1/5,"18,3",6,0,0,"18,3",0,0,0,0
02/01/18,32,718003,SITSDA1/9,28/03/07,",32",",4",0,0,",32",0,0,0,0,
02/01/18,32,721003,SOKNA,DA1/5,020712,"1,35",",02",0,0,"1,35",0,0,0,0
02/01/18,32,721004,SOKNA,DA2/5,010714,"1,76",1,0,0,"1,76",0,0,0,0
02/01/18,32,678006,SOMC,DA1/10,261211,",16",",01",0,0,",16",0,0,0,0
02/01/18,32,678008,SOMC,DA2/35,231213,",08",",01",0,0,",08",0,0,0,0
02/01/18,32,729005,SOPATDA1/10,140213,",07",",01",0,0,",07",0,0,0,0,
02/01/18,32,729003,SOPATDA1/20,010708,",06",",3",0,0,",06",0,0,0,0,
02/01/18,32,653009,SOT,DA1/22,010906,",17",",01",0,0,",17",0,0,0,0
02/01/18,32,653005,SOTETEL,DA1/6,",94",",7",0,0,",94",0,0,0,0,
02/01/18,32,656015,SOTUV,DA1/7,180713,"1,04",",1",0,0,"1,04",0,0,0,0
02/01/18,32,656018,SOTUV,DA3/41,10714,",47",",4",0,0,",47",0,0,0,0
02/01/18,32,656002,SOTUVER,DA,1/24,",67",",3",0,0,",67",0,0,0,0
02/01/18,32,656006,SOTUVER,DA,3/34,"1,33",",82",0,0,"1,33",0,0,0,0
02/01/18,32,664002,STEQ,DA2/5(8/4/02),"4,01",",03",0,0,"4,01",0,0,0,0,
02/01/18,32,503002,STIP,DA1/10,0703,",11",",11",0,0,",11",0,0,0,0
02/01/18,32,666002,STPIL,DA1/10,0703,"1,83",",01",0,0,"1,83",0,0,0,0
02/01/18,32,666007,STPIL,DA1/17,20614,",79",",4",0,0,",79",0,0,0,0
02/01/18,32,666005,STPIL,DA1/20,02712,",76",",4",0,0,",76",0,0,0,0
02/01/18,32,666004,STPIL,DA1/25301208,",64",",32",0,0,",64",0,0,0,0,
02/01/18,32,666006,STPIL,DA1/33,01713,",43",",35",0,0,",43",0,0,0,0
02/01/18,32,666009,STPIL,DA1/39,01716,",29",",25",0,0,",29",0,0,0,0
02/01/18,32,666003,STPILDA0807,1/10,"1,67",",01",0,0,"1,67",0,0,0,0,
02/01/18,32,666010,STPILDA1/56,300617,",19",",18",0,0,",19",0,0,0,0,
02/01/18,32,666008,STPL,DA1/32,180615,",37",",3",0,0,",37",0,0,0,0
02/01/18,32,656014,STV,DA10/31,160712,"2,76","2,2",0,0,"2,76",0,0,0,0
02/01/18,32,656009,STV02,3/10,010102,"3,42","2,05",0,0,"3,42",0,0,0,0
02/01/18,32,120047,TAIR,DA1/10,010799,",09",",06",0,0,",09",0,0,0,0
02/01/18,32,120049,TAIR,DA1/10,030700,",08",",06",0,0,",08",0,0,0,0
02/01/18,32,120056,TAIR,DA1/11,170709,",04",",05",0,0,",04",0,0,0,0
02/01/18,32,120053,TAIR,DA1/22,310806,",04",",04",0,0,",04",0,0,0,0
02/01/18,32,160026,TJARI,-,DA39,"1,76",",01",0,0,"1,76",0,0,0,0
02/01/18,32,160016,TJARI,-,(DA),"2,75",2,0,0,"2,75",0,0,0,0
02/01/18,32,210181,TL,DA2/43,02022015,",8",",01",0,0,",8",0,0,0,0
02/01/18,32,210174,TL,DA3/83,10022014,",71",",72",0,0,",71",0,0,0,0
02/01/18,32,210095,TLS,DA,1/4,"9,31",8,0,0,"9,31",0,0,0,0
02/01/18,32,210098,TLS,DA,1/5(021202),"6,21",7,0,0,"6,21",0,0,0,0
02/01/18,32,210101,TLS,DA,1/6(181203),"4,51","5,52",0,0,"4,51",0,0,0,0
02/01/18,32,210106,TLS,DA,1/7(061204),"3,26",3,0,0,"3,26",0,0,0,0
02/01/18,32,210115,TLS,DA1/55(010307),",46",",52",0,0,",46",0,0,0,0,
02/01/18,32,120051,TUNISAIR,DA,1/10,",08",",06",0,0,",08",0,0,0,0
02/01/18,32,240069,UBCI,DA8/33,141013,"6,63","5,85",0,0,"6,63",0,0,0,0
02/01/18,32,720013,WIFAK,DA1/2,121015,"3,67",",01",0,0,"3,67",0,0,0,0
02/01/18,51,150085,AMS,"1,16","1,16","1,13","1,18","1,18","1,13","1,18",2987,9,"3405,32",
02/01/18,51,740001,CARTHAGE,CEMENT,"2,34","2,32","2,34","2,33","2,33","2,33","2,37",22509,56,"52714,65"
02/01/18,51,764001,CEREALIS,"4,11","4,11","4,05","4,05","4,05","4,05","4,05",10000,14,40500,
02/01/18,51,749001,HEXABYTE,"5,29","5,29","5,28","5,28","5,28","5,28","5,28",286,3,"1510,08",
02/01/18,51,751001,LAND,OR,"7,5","7,45","7,5","7,5","7,5","7,5","7,5",8,2,60
02/01/18,51,770001,OFFICEPLAST,"3,34","3,34","3,31","3,2","3,2","3,2","3,44",7632,29,"24808,93",
02/01/18,51,734001,SERVICOM,"1,59","1,61","1,59","1,55","1,52","1,55","1,59",3310,8,"5190,5",-
02/01/18,52,750001,AETECH,",49",",49",0,0,",51",0,0,0,0,+,
02/01/18,52,766001,MAGHREB,INTERN,PUB,",96",",96",0,0,",96",0,0,0,0
02/01/18,52,773001,SANIMED,"4,28","4,28",0,0,"4,28",0,0,0,0,,
02/01/18,52,760001,SOTEMAIL,"2,49","2,49",0,0,"2,49",0,0,0,0,,
02/01/18,99,503001,STIP,"1,06","1,06",0,0,"1,06",0,0,0,0,,
03/01/18,11,725001,ADWYA,"5,39","5,39","5,38","5,35","5,35","5,35","5,39",2395,24,"12872,65",
03/01/18,11,340005,AMEN,BANK,"23,99",24,"23,99","23,99","23,99","23,7",24,530,10,"12690,82"
03/01/18,11,730001,ARTES,"6,1","6,1","6,1","6,25","6,25","6,1","6,26",8509,22,"52504,33",
03/01/18,11,714001,ASSAD,"8,83",9,"8,83","8,99","8,99","8,83","8,99",627,9,"5537,82",
03/01/18,11,360035,ATB,"4,15","4,18","4,15","4,15","4,15","4,15","4,15",543,4,"2253,45",
03/01/18,11,774001,ATELIER,MEUBLE,INT,"2,49","2,49",0,0,"2,49",0,0,0,0
03/01/18,11,470010,ATL,"3,09","3,09","3,09","3,09","3,09","3,09","3,1",1458,6,"4511,02",
03/01/18,11,160015,ATTIJARI,BANK,36,"36,6",36,"36,15","36,15",36,"36,15",6766,38,"243670,93"
03/01/18,11,661001,ATTIJARI,LEASING,"17,88","17,88","17,71","17,71","17,71","17,71","17,71",216,3,"3825,36"
03/01/18,11,190060,BH,"18,48","18,48","18,45","18,43","18,43","18,43","18,45",681,6,"12556,75",
03/01/18,11,180045,BIAT,118,"118,1",118,120,120,"117,4",120,965,17,"113869,4",
03/01/18,11,310060,BNA,"11,61","11,61","11,79","11,7","11,7","11,51","11,79",901,13,"10416,92",
03/01/18,11,220005,BT,"7,82","7,81","7,82","7,82","7,82","7,8","7,82",17104,25,"133683,1",
03/01/18,11,759001,CELLCOM,"1,9","1,89","1,9","1,9","1,9","1,9","1,9",20,1,38,
03/01/18,11,420085,CIL,"16,84","16,84",17,"17,3","17,3","16,4","17,3",401,10,"6777,14",
03/01/18,11,755001,CITY,CARS,"10,75","10,75","11,07","11,07","11,07",11,"11,07",4839,11,"53534,23"
03/01/18,11,767001,DELICE,HOLDING,"16,5","16,5","16,69","16,5","16,5","16,5","16,7",42330,9,"698629,4"
03/01/18,11,665001,ELECTROSTAR,"2,7","2,65","2,7","2,67","2,67","2,67","2,7",310,6,"828,45",
03/01/18,11,741001,ENNAKL,AUTOMOBILES,"12,4","12,4","12,65","12,6","12,6","12,5","12,65",405,8,5087
03/01/18,11,721001,ESSOUKNA,"3,69","3,69","3,65","3,65","3,65","3,65","3,65",210,2,"766,5",
03/01/18,11,757001,EURO-CYCLES,"26,5","26,5","26,5","27,5","27,5","26,5","27,5",2389,54,"64360,75",
03/01/18,11,713001,GIF-FILTER,"1,48","1,48","1,48","1,44","1,44","1,44","1,48",4991,33,"7198,62",
03/01/18,11,731013,HANNIBAL,LEASE,"8,06","8,06",0,0,"8,06",0,0,0,0,
03/01/18,11,644001,MAGASIN,GENERAL,"38,6","38,6",39,39,39,39,39,100,1,3900
03/01/18,11,100010,MONOPRIX,"11,59","11,6","11,59","11,6","11,6","11,3","11,6",1606,14,"18612,9",
03/01/18,11,762001,MPBS,"3,12","3,12","3,03","3,03","3,03","3,03","3,03",65,1,"196,95",
03/01/18,11,761001,SAH,"15,5","15,51","15,5","15,65","15,65","15,5","15,8",3578,34,"55767,8",
03/01/18,11,110025,SFBT,"19,31","19,4","19,31","19,88","19,88","19,31","19,88",5413,65,"105456,01",
03/01/18,11,659001,SIAME,"2,37","2,37","2,31","2,3","2,3","2,3","2,31",1047,9,"2408,23",
03/01/18,11,400005,SIMPAR,"42,8","42,8",43,"43,99","43,99",43,"43,99",379,8,"16464,61",
03/01/18,11,718001,SITS,"2,35","2,35","2,35","2,35","2,35","2,3","2,35",1249,6,"2917,2",
03/01/18,11,678001,SOMOCER,"1,16","1,16","1,16","1,2","1,2","1,16","1,21",64166,115,"76281,11",
03/01/18,11,729001,SOPAT,",74",",74",",72",",74",",74",",72",",74",7545,17,"5438,82",
03/01/18,11,653001,SOTETEL,"2,81","2,81","2,82","2,82","2,82","2,82","2,82",660,5,"1861,2",
03/01/18,11,763001,SOTIPAPIER,"3,52","3,52","3,42","3,5","3,5","3,42","3,5",155,10,"539,62",
03/01/18,11,666001,SOTRAPIL,"10,7","10,7","10,7","10,71","10,71","10,69","10,71",2505,16,"26802,43",
03/01/18,11,658001,SOTUMAG,"1,97","1,93","1,97","1,95","1,95","1,92","1,97",19948,28,"38484,46",
03/01/18,11,656001,SOTUVER,"4,94","4,94","4,9","4,8","4,8","4,8","4,9",4544,21,"21858,2",
03/01/18,11,606001,STAR,98,98,98,100,100,98,100,31,4,3040,
03/01/18,11,260095,STB,"3,69","3,69","3,69","3,72","3,72","3,69","3,72",1500,8,"5561,09",
03/01/18,11,744001,TELNET,HOLDING,"5,86","5,86","5,86","5,94","5,94","5,85","5,95",16784,41,"98402,04"
03/01/18,11,727001,TPR,"3,5","3,48","3,5","3,4","3,4","3,4","3,5",11334,25,"39535,6",
03/01/18,11,738001,TUNIS,RE,"8,4","8,4","8,4","8,25","8,25","8,2","8,4",7258,21,"60039,03"
03/01/18,11,120040,TUNISAIR,",43",",43",",43",",42",",42",",42",",43",24678,38,"10427,04",
03/01/18,11,210090,TUNISIE,LEASING,"14,05","13,81","14,05","14,47","14,47","14,05","14,47",1009,12,"14572,12"
03/01/18,11,769001,UADH,"2,45","2,45","2,45","2,46","2,46","2,45","2,46",2020,4,"4949,2",
03/01/18,11,390010,UIB,"22,01","22,01","22,2","22,1","22,1","22,01","22,2",6147,27,"135482,97",
03/01/18,11,772001,UNIMED,"7,85","7,85","7,85",8,8,"7,84",8,1557,17,"12275,35",
03/01/18,12,380070,ALKIMIA,"46,35","46,35",0,0,"46,35",0,0,0,0,,
03/01/18,12,655001,ASSURANCES,SALIM,"33,5","33,5",0,0,"33,5",0,0,0,0,
03/01/18,12,300045,ASTREE,34,34,0,0,34,0,0,0,0,,
03/01/18,12,758001,BEST,LEASE,"1,85","1,9","1,85","1,85","1,85","1,85","1,85",50,1,"92,5"
03/01/18,12,130055,BTE,(ADP),"16,79","17,21","16,79","16,8","16,8","16,79","16,8",1101,7,"18492,78"
03/01/18,12,330090,ELBENE,INDUSTRIE,"3,58","3,58",0,0,"3,58",0,0,0,0,
03/01/18,12,320075,ICF,"28,13","28,13","28,21","28,21","28,21","28,21","28,21",40,1,"1128,4",
03/01/18,12,672004,MODERN,LEASING,"3,86","3,86","3,86","3,86","3,86","3,86","3,86",125,1,"482,5"
03/01/18,12,250065,PLAC.,TSIE-SICAF,"40,71","40,71",0,0,"40,71",0,0,0,0,
03/01/18,12,667001,SIPHAT,"5,15","5,3","5,15","5,15","5,15","5,15","5,15",1,1,"5,15",
03/01/18,12,664001,STEQ,"7,62","7,62",0,0,"7,62",0,0,0,0,,
03/01/18,12,410020,TUNINVEST-SICAR,"6,5","6,5","6,5","6,5","6,5","6,5","6,5",550,1,3575,
03/01/18,12,240050,UBCI,"24,81","24,81",0,0,"24,81",0,0,0,0,,
03/01/18,13,430030,SITEX,"6,25","6,25",0,0,"6,25",0,0,0,0,,
03/01/18,32,340020,AB,DA,1/27,"1,58",",9",0,0,"1,58",0,0,0,0
03/01/18,32,340051,AB,DA1/24,01082016,"1,09",1,0,0,"1,09",0,0,0,0
03/01/18,32,340027,ABDA,1/14,11122007,"2,58",2,0,0,"2,58",0,0,0,0
03/01/18,32,380071,ALKIM,DA,"8,07",4,0,0,"8,07",0,0,0,0,
03/01/18,32,380072,ALKIM,DA,04,"7,34",5,0,0,"7,34",0,0,0,0
03/01/18,32,230041,ALQ,DA1/10,7/09/04,"27,39",35,0,0,"27,39",0,0,0,0
03/01/18,32,230043,ALQ,DA1/12,070906,"18,79",30,0,0,"18,79",0,0,0,0
03/01/18,32,230039,ALQ,DA1/6,(160902),"57,88",70,0,0,"57,88",0,0,0,0
03/01/18,32,230042,ALQDA1/12,06/09/05,"20,29",45,0,0,"20,29",0,0,0,0,
03/01/18,32,150092,AMS,DA,1/50,",03",",01",0,0,",03",0,0,0,0
03/01/18,32,730002,ARTES,DA1/4,230712,"2,54",2,0,0,"2,54",0,0,0,0
03/01/18,32,730003,ARTES,DA1/5,040313,"1,61","1,5",0,0,"1,61",0,0,0,0
03/01/18,32,714004,ASSAD,DA1/4,150609,"3,15",",01",0,0,"3,15",0,0,0,0
03/01/18,32,714003,ASSDA1/9(01/07/05),"1,73","1,3",0,0,"1,73",0,0,0,0,,
03/01/18,32,360043,ATBDA1/7,09/11/05,",87",",01",0,0,",87",0,0,0,0,
03/01/18,32,661014,ATTIJARI,LS,ROMPU,"6,72","6,72",0,0,"6,72",0,0,0,0
03/01/18,32,190071,BH,DA1/25,14022000,"1,37",",9",0,0,"1,37",0,0,0,0
03/01/18,32,190077,BHDA,1/15,28052007,"2,24",",01",0,0,"2,24",0,0,0,0
03/01/18,32,180046,BIAT,DA32,4/60,"9,76",",01",0,0,"9,76",0,0,0,0
03/01/18,32,180050,BIAT,DA36,1/24,"5,36","3,8",0,0,"5,36",0,0,0,0
03/01/18,32,190061,BQ,HABITAT,(DA),"1,87","1,25",0,0,"1,87",0,0,0,0
03/01/18,32,220025,BTDA1/7(3/12/01),"3,89",3,0,0,"3,89",0,0,0,0,,
03/01/18,32,757002,ECYCL,DA1/2,010616,"13,95","1,5",0,0,"13,95",0,0,0,0
03/01/18,32,665002,ELECTROSTAR,DA,1/6,",73",",03",0,0,",73",0,0,0,0
03/01/18,32,713006,GIF,DA27/1000,8713,",05",",04",0,0,",05",0,0,0,0
03/01/18,32,713008,GIF,DA5/429,310715,",02",",01",0,0,",02",0,0,0,0
03/01/18,32,658002,MGR,DA1/3,050710,",85",",01",0,0,",85",0,0,0,0
03/01/18,32,100011,MONOPRIX,DA,"4,13","1,02",0,0,"4,13",0,0,0,0,
03/01/18,32,754003,NBL,DA1/45,161213,",15",",15",0,0,",15",0,0,0,0
03/01/18,32,770003,PLAST,DA1/4,161216,",81",",01",0,0,",81",0,0,0,0
03/01/18,32,110028,SFBT,(DA,1/6),"26,4","26,58",0,0,"26,4",0,0,0,0
03/01/18,32,110029,SFBT,(DA,1/7),"19,07",",12",0,0,"19,07",0,0,0,0
03/01/18,32,110036,SFBT,DA10/66,03712,"5,75",5,0,0,"5,75",0,0,0,0
03/01/18,32,110038,SFBT,DA1/19,280513,"1,8",",38",0,0,"1,8",0,0,0,0
03/01/18,32,110033,SFBT,DA2007,1/13,"4,15",",01",0,0,"4,15",0,0,0,0
03/01/18,32,110034,SFBT,DA5/56,120510,"4,29",4,0,0,"4,29",0,0,0,0
03/01/18,32,110035,SFBT,DA5/61,300311,"3,53",2,0,0,"3,53",0,0,0,0
03/01/18,32,110031,SFBTDA1/2(11/4/02),"30,27",",1",0,0,"30,27",0,0,0,0,,
03/01/18,32,659010,SIAM,DA1/25,280704,",11",",01",0,0,",11",0,0,0,0
03/01/18,32,659006,SIAME,DA1/10,",33",",2",0,0,",33",0,0,0,0,
03/01/18,32,659008,SIAME,DA1/8,",38",",01",0,0,",38",0,0,0,0,
03/01/18,32,659002,SIAME,DA5/11,"1,68",",01",0,0,"1,68",0,0,0,0,
